timestamp,expression,archetype,source,stage,status,sharpe,fitness,turnover,returns,drawdown,alpha_id
2026-09-11T08:23:07.221877+00:00,"group_neutralize(rank((forward_price_20 - close) / close), sector)",Synthetic Forward Basis Spread,template,STAGE0,FAIL,0.0400,0.0100,0.1823,0.0032,0.1956,ZY0ajwJ3
2026-09-11T08:32:49.923490+00:00,"group_neutralize(rank((forward_price_10 - close) / close), sector)",Forward Basis Spread,template,STAGE0,FAIL,0.0100,0.0000,0.1847,0.0010,0.1907,ZY0aWEr8
2026-09-11T08:34:37.680279+00:00,"group_neutralize(rank((forward_price_10 - close) / close), subindustry)",Forward Basis Spread,template,STAGE0,FAIL,0.0200,0.0000,0.1829,0.0012,0.1913,RRVerj7z
2026-09-11T08:36:31.554300+00:00,"group_neutralize(rank((forward_price_20 - close) / close), subindustry)",Forward Basis Spread,template,STAGE0,FAIL,0.0400,0.0100,0.1806,0.0033,0.1966,78ZYdK05
2026-09-11T08:37:58.417630+00:00,"group_neutralize(rank((forward_price_30 - close) / close), sector)",Forward Basis Spread,template,STAGE0,FAIL,0.1000,0.0200,0.1791,0.0076,0.1815,pwPa7P7g
2026-09-11T08:40:01.806138+00:00,"group_neutralize(rank((forward_price_30 - close) / close), subindustry)",Forward Basis Spread,template,STAGE0,FAIL,0.1000,0.0200,0.1774,0.0076,0.1824,883NLxoo
2026-09-11T08:47:12.082956+00:00,"group_neutralize(rank((forward_price_60 - close) / close), sector)",Forward Basis Spread,template,STAGE0,FAIL,0.1400,0.0300,0.1699,0.0105,0.1713,mLga8v66
2026-09-11T08:48:33.609821+00:00,"group_neutralize(rank((forward_price_60 - close) / close), subindustry)",Forward Basis Spread,template,STAGE0,FAIL,0.1400,0.0300,0.1681,0.0104,0.1724,om6alOZ2
2026-09-11T08:49:59.692594+00:00,"group_neutralize(rank((forward_price_90 - close) / close), sector)",Forward Basis Spread,template,STAGE0,FAIL,0.2200,0.0700,0.1627,0.0160,0.1506,qMW7lnjP
2026-09-11T08:52:10.171850+00:00,"group_neutralize(rank((forward_price_90 - close) / close), subindustry)",Forward Basis Spread,template,STAGE0,FAIL,0.2200,0.0700,0.1609,0.0162,0.1516,pwPalWMg
2026-09-11T08:54:00.379758+00:00,"group_neutralize(rank(ts_delta((forward_price_20 - close) / close, 3)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,0.0200,0.0000,0.8066,0.0006,0.0758,KPOg9Wzk
2026-09-11T09:00:48.554583+00:00,"group_neutralize(rank(ts_delta((forward_price_20 - close) / close, 5)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,-0.0300,0.0000,0.6562,-0.0010,0.1040,mLgaVEWW
2026-09-11T09:02:20.510041+00:00,"group_neutralize(rank(ts_delta((forward_price_20 - close) / close, 10)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,0.0800,0.0100,0.5233,0.0029,0.0740,6XrMpxWp
2026-09-11T09:03:49.197987+00:00,"group_neutralize(rank(ts_delta((forward_price_30 - close) / close, 3)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,0.5200,0.0800,0.8002,0.0180,0.0514,QP30GQWp
2026-09-11T09:05:41.112074+00:00,"group_neutralize(rank(ts_delta((forward_price_30 - close) / close, 5)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,0.3700,0.0500,0.6496,0.0133,0.0917,N1QPbKje
2026-09-11T09:07:02.862730+00:00,"group_neutralize(rank(ts_delta((forward_price_30 - close) / close, 10)), sector)",Forward Basis Velocity,template,STAGE0,FAIL,0.4400,0.0800,0.5143,0.0159,0.0582,RRVemxob
2026-09-11T09:09:24.091663+00:00,"group_neutralize(rank(ts_delta((forward_price_20 - close) / close, 5)), sector)",Synthetic Forward Basis Spread,llm,STAGE0,FAIL,-0.0300,0.0000,0.6562,-0.0010,0.1040,mLgaVEWW
2026-09-11T09:16:23.486464+00:00,"group_neutralize(rank(-ts_zscore(pcr_vol_10, 20)), sector)",Put-Call Ratio Contrarian Reversal,template,STAGE0,FAIL,-0.6500,-0.1200,0.6213,-0.0202,0.1005,O0rWrmvY
2026-09-11T09:18:01.236507+00:00,"group_neutralize(rank(-ts_zscore(pcr_vol_10, 20)), subindustry)",Put-Call Ratio Contrarian Reversal,template,STAGE0,FAIL,-0.7100,-0.1300,0.6188,-0.0222,0.1106,WjPlPPjZ
2026-09-11T09:19:49.251269+00:00,"group_neutralize(rank(-ts_zscore(pcr_vol_10, 40)), sector)",Put-Call Ratio Contrarian Reversal,template,STAGE0,FAIL,-0.7200,-0.1500,0.5639,-0.0233,0.1295,le8a8NdA
